Date,Logistic Regression,Random Forest,Gradient Boosting,KNN,Decision Tree,SVM,Actual Y,Return
7/1/2020,1,0,1,1,1,1,1,0.009848982
7/2/2020,1,0,0,0,0,1,0,-0.011378414
7/3/2020,1,0,1,1,1,1,0,-0.00394607
7/4/2020,1,1,0,0,1,1,1,0.004952129
7/5/2020,1,0,0,1,1,1,0,-0.006351292
7/6/2020,1,0,0,0,1,1,1,0.033171699
7/7/2020,1,1,1,1,1,1,0,-0.01312
7/8/2020,1,1,1,0,1,1,1,0.019022914
7/9/2020,1,0,1,1,0,1,0,-0.015910055
7/10/2020,1,1,1,1,1,1,1,0.000107782
7/11/2020,1,1,0,1,1,1,0,-0.004203039
7/12/2020,1,0,0,0,0,1,1,0.004004329
7/13/2020,1,0,0,1,1,1,0,-0.003557184
7/14/2020,1,0,0,1,1,1,0,-0.000108178
7/15/2020,1,1,0,1,0,1,0,-0.005409499
7/16/2020,1,0,0,0,0,1,0,-0.006635484
7/17/2020,1,0,0,1,0,1,1,0.002080596
7/18/2020,1,0,0,0,0,1,1,0.000874221
7/19/2020,1,1,1,1,1,1,1,0.00294792
7/20/2020,1,1,1,0,0,1,0,-0.002394949
7/21/2020,1,0,0,1,0,1,1,0.02302488
7/22/2020,1,0,1,0,1,1,1,0.016
7/23/2020,1,0,0,0,1,1,1,0.005879265
7/24/2020,1,0,0,0,1,1,0,-0.004592423
7/25/2020,1,0,1,0,1,1,1,0.014679669
7/26/2020,1,0,1,1,0,1,1,0.023561021
7/27/2020,1,1,0,1,1,1,1,0.109641595
7/28/2020,1,1,1,1,0,1,0,-0.007096715
7/29/2020,1,0,0,1,0,1,1,0.017135526
7/30/2020,1,0,0,1,0,1,1,0.000990991
7/31/2020,1,0,1,1,1,1,1,0.019080191
8/1/2020,1,0,0,1,0,1,1,0.038594012
8/2/2020,1,1,1,0,1,1,0,-0.060034014
8/3/2020,1,0,0,1,1,1,1,0.017369278
8/4/2020,1,1,0,0,0,1,0,-0.00355682
8/5/2020,1,1,1,1,1,1,1,0.048277708
8/6/2020,1,1,1,1,1,1,1,0.002809228
8/7/2020,1,1,1,1,1,1,0,-0.015195246
8/8/2020,1,0,0,0,0,1,1,0.013188518
8/9/2020,1,0,0,1,1,1,0,-0.006636039
8/10/2020,1,1,0,1,0,1,1,0.017300445
8/11/2020,1,0,1,0,1,1,0,-0.039316383
8/12/2020,1,0,1,1,0,1,1,0.015248444
8/13/2020,1,1,1,0,1,1,1,0.017177385
8/14/2020,1,0,0,0,1,1,0,-0.001272912
8/15/2020,1,0,0,1,0,1,1,0.008241992
8/16/2020,1,0,0,0,0,1,1,0.002275409
8/17/2020,1,1,1,1,0,1,1,0.03035399
8/18/2020,1,0,0,1,1,1,0,-0.02146238
8/19/2020,1,1,1,1,1,1,0,-0.01943124
8/20/2020,1,0,0,0,1,1,1,0.010205817
8/21/2020,1,1,0,1,0,1,0,-0.024078128
8/22/2020,1,1,1,1,1,1,1,0.007763975
8/23/2020,1,0,1,1,1,1,0,-0.00145523
8/24/2020,1,0,0,0,0,1,1,0.009429919
8/25/2020,1,1,1,0,0,1,0,-0.034734607
8/26/2020,1,1,1,0,1,1,1,0.010733767
8/27/2020,1,1,1,1,1,1,0,-0.014362813
8/28/2020,1,1,1,1,1,1,1,0.01942948
8/29/2020,1,1,1,0,0,1,0,-0.003118773
8/30/2020,1,1,1,0,0,1,1,0.017815243
8/31/2020,1,0,0,1,1,1,0,-0.002646858
9/1/2020,1,1,0,0,1,1,1,0.024741032
9/2/2020,1,1,1,1,1,1,0,-0.046449457
9/3/2020,1,0,0,1,1,1,0,-0.102418083
9/4/2020,1,0,0,0,0,1,1,0.026061493
9/5/2020,1,0,0,0,1,1,0,-0.032534247
9/6/2020,1,1,1,1,0,1,1,0.010816126
9/7/2020,1,1,1,0,1,1,1,0.008754864
9/8/2020,1,1,1,1,1,1,0,-0.02295082
9/9/2020,1,1,1,0,0,1,1,0.010856692
9/10/2020,1,1,1,0,1,1,1,0.011814099
9/11/2020,1,1,1,0,1,1,1,0.003666892
9/12/2020,1,0,0,1,1,1,1,0.003941929
9/13/2020,1,0,0,1,1,1,0,-0.011300517
9/14/2020,1,1,0,1,0,1,1,0.03457962
9/15/2020,1,1,1,0,1,1,1,0.010860406
9/16/2020,1,0,0,0,0,1,1,0.016486061
9/17/2020,1,1,1,1,0,1,0,-0.002369021
9/18/2020,1,1,1,0,1,1,0,-0.00036533
9/19/2020,1,1,1,0,1,1,1,0.013613522
9/20/2020,1,1,1,1,0,1,0,-0.014061655
9/21/2020,1,0,1,1,1,1,0,-0.043518011
9/23/2020,1,0,0,1,0,1,0,-0.020646148
9/24/2020,1,0,0,0,0,1,1,0.050165918
9/25/2020,1,1,1,0,1,1,0,-0.006226766
9/26/2020,1,0,0,0,0,1,1,0.005424109
9/27/2020,1,1,1,1,1,1,1,0.00223235
9/28/2020,1,1,1,1,1,1,0,-0.006032483
9/29/2020,1,0,0,1,0,1,1,0.012605042
9/30/2020,1,1,1,0,1,1,0,-0.005624712
10/1/2020,1,0,0,0,1,1,0,-0.015300445
10/2/2020,1,1,1,1,1,1,0,-0.004049346
10/3/2020,1,0,0,0,0,1,0,-0.00255295
10/4/2020,1,0,0,1,0,1,1,0.011470282
10/5/2020,1,1,1,0,0,1,1,0.011527648
10/6/2020,1,0,0,0,1,1,0,-0.01751135
10/7/2020,1,0,1,1,1,1,1,0.006129762
10/8/2020,1,1,1,0,1,1,1,0.023151186
10/9/2020,1,1,0,0,1,1,1,0.01355808
10/10/2020,1,0,0,1,1,1,1,0.020968908
10/11/2020,1,0,0,1,0,1,1,0.007790368
10/12/2020,1,1,1,1,1,1,1,0.015021082
10/13/2020,1,0,0,0,1,1,0,-0.011163998
10/14/2020,1,1,1,0,1,1,1,0.000350079
10/15/2020,1,0,0,1,0,1,1,0.005686789
10/16/2020,1,1,1,1,1,1,0,-0.015050022
10/17/2020,1,0,0,0,0,1,1,0.00317965
10/18/2020,1,0,0,0,1,1,1,0.011005459
10/19/2020,1,0,0,1,0,1,1,0.022555081
10/20/2020,1,0,0,0,1,1,1,0.0148186
10/21/2020,1,1,1,1,1,1,1,0.076200067
10/22/2020,1,1,0,0,1,1,1,0.011072988
10/23/2020,1,1,1,1,0,1,0,-0.002622243
10/24/2020,1,1,1,1,1,1,1,0.01360965
10/25/2020,1,1,1,1,1,1,0,-0.005874275
10/26/2020,1,0,0,0,0,1,1,0.003376564
10/27/2020,1,1,0,0,1,1,1,0.044282983
10/28/2020,1,1,1,0,1,1,0,-0.028050388
10/29/2020,1,1,1,1,1,1,1,0.012583829
10/30/2020,1,1,1,0,1,1,1,0.008111326
10/31/2020,1,1,1,0,1,1,1,0.017273197
11/1/2020,1,1,1,1,1,1,0,-0.003192802
11/2/2020,1,0,0,0,0,1,0,-0.01361287
11/3/2020,1,1,1,0,1,1,1,0.029520295
11/4/2020,1,1,0,1,1,1,1,0.013189964
11/6/2020,1,0,0,0,1,1,1,0.101315976
11/7/2020,1,1,1,1,1,1,0,-0.047025569
11/8/2020,1,1,1,0,1,1,1,0.043548605
11/9/2020,1,1,0,0,1,1,0,-0.009560724
11/10/2020,1,0,0,1,0,1,0,-0.002674146
11/11/2020,1,1,0,0,1,1,1,0.026813158
11/12/2020,1,1,1,0,1,1,1,0.036621871
11/13/2020,1,0,0,0,1,1,1,0.002580487
11/14/2020,1,1,1,0,1,1,0,-0.015320505
11/15/2020,1,0,0,1,0,1,0,-0.006970376
11/16/2020,1,0,1,0,1,1,1,0.047630985
11/17/2020,1,1,1,0,0,1,1,0.055575497
11/18/2020,1,1,1,0,1,1,1,0.009011051
11/19/2020,1,1,1,1,1,1,1,0.000730173
11/20/2020,1,1,1,1,1,1,1,0.045125442
11/21/2020,1,0,0,0,1,1,1,0.001127759
11/22/2020,1,1,1,1,1,1,0,-0.014590709
11/23/2020,1,1,1,0,1,1,0,-0.000326619
11/24/2020,1,0,0,0,0,1,1,0.040459595
11/25/2020,1,0,0,1,1,1,0,-0.019626315
11/26/2020,1,1,1,1,1,1,0,-0.084401025
11/27/2020,1,1,1,0,0,1,0,-0.002507142
11/28/2020,1,1,1,0,1,1,1,0.035597381
11/29/2020,1,0,0,0,1,1,1,0.025963764
11/30/2020,1,1,1,1,1,1,1,0.079716125
12/1/2020,1,1,1,1,1,1,0,-0.041934169
12/2/2020,1,1,1,1,0,1,1,0.021166835
12/3/2020,1,1,1,1,1,1,1,0.012707671
12/4/2020,1,1,1,0,0,1,0,-0.038313191
12/5/2020,1,1,1,0,1,1,1,0.024278075
12/6/2020,1,1,1,1,1,1,1,0.009971807
12/7/2020,1,1,1,0,0,1,0,-0.00790902
12/8/2020,1,1,1,0,0,1,0,-0.045383493
12/9/2020,1,0,1,1,1,1,1,0.012717646
12/10/2020,1,0,1,1,1,1,0,-0.015576156
12/11/2020,1,1,1,0,1,1,0,-0.011278401
12/12/2020,1,1,0,0,0,1,1,0.041253669
12/13/2020,1,1,0,1,1,1,1,0.017974899
12/14/2020,1,1,1,0,1,1,1,0.00548532
12/15/2020,1,1,1,0,1,1,1,0.008832545
12/16/2020,1,1,0,0,0,1,1,0.09754339
12/17/2020,1,1,1,1,1,1,1,0.070104641
12/18/2020,1,1,1,1,1,1,1,0.014602061
12/19/2020,1,1,0,1,0,1,1,0.031636269
12/20/2020,1,1,0,1,0,1,0,-0.016464181
12/21/2020,1,0,0,0,0,1,0,-0.028708949
12/22/2020,1,0,0,0,0,1,1,0.042976801
12/23/2020,1,1,1,0,1,1,0,-0.022789387
12/24/2020,1,1,1,1,1,1,1,0.021298567
12/25/2020,1,0,0,0,1,1,1,0.039138861
12/26/2020,1,0,0,1,0,1,1,0.071842692
12/27/2020,1,1,1,1,1,1,0,-0.006241253
12/28/2020,1,1,1,0,1,1,1,0.030945493
12/29/2020,1,1,1,0,1,1,1,0.010227063
12/30/2020,1,1,1,0,1,1,1,0.054053066
12/31/2020,1,0,0,0,1,1,1,0.005582331
1/1/2021,1,0,0,1,1,1,1,0.012826702
1/2/2021,1,0,1,1,0,1,1,0.093722339
1/3/2021,1,1,1,1,1,1,1,0.020387836
1/4/2021,1,0,1,1,0,1,0,-0.024708682
1/5/2021,1,1,1,1,1,1,1,0.063180283
1/6/2021,1,1,1,1,1,1,1,0.083313721
1/7/2021,1,1,1,1,1,1,1,0.069166848
1/8/2021,1,0,1,1,1,1,1,0.036244952
1/9/2021,1,1,1,0,1,1,0,-0.013309476
1/10/2021,1,1,1,1,1,1,0,-0.047174264
1/11/2021,1,0,0,1,0,1,0,-0.072713526
1/12/2021,1,0,1,1,1,1,0,-0.046222622
1/13/2021,1,1,1,1,1,1,1,0.100020635
1/14/2021,1,1,1,0,1,1,1,0.05013935
1/15/2021,1,1,1,1,1,1,0,-0.060275091
1/16/2021,1,1,1,1,1,1,0,-0.017569586
1/17/2021,1,0,0,0,1,1,0,-0.010697109
1/18/2021,1,1,1,0,1,1,1,0.023441647
1/19/2021,1,0,1,1,0,1,0,-0.015288015
1/20/2021,1,0,0,1,1,1,0,-0.01447186
1/21/2021,1,1,1,1,0,1,0,-0.132834477
1/22/2021,1,0,0,1,0,1,1,0.070719522
1/23/2021,1,1,1,1,1,1,0,-0.028419075
1/24/2021,1,1,1,1,1,1,1,0.006891605
1/27/2021,1,0,0,0,0,1,0,-0.057480876
1/28/2021,1,1,1,1,0,1,1,0.099661552
1/29/2021,1,0,1,1,1,1,1,0.025398912
1/30/2021,1,0,1,0,0,1,0,-0.001340483
1/31/2021,1,0,0,0,0,1,0,-0.033732127
2/1/2021,1,1,1,1,0,1,1,0.012774053
2/2/2021,1,1,1,0,1,1,1,0.058830545
2/3/2021,1,1,1,1,1,1,1,0.055252042
2/8/2021,1,0,1,1,1,1,1,0.232813834
2/9/2021,1,0,0,1,1,1,1,0.006169365
2/10/2021,1,1,1,1,1,1,0,-0.033626643
2/11/2021,1,0,0,1,0,1,1,0.066588005
2/12/2021,1,0,1,1,0,1,0,-0.008432654
2/13/2021,1,1,1,1,1,1,0,-0.008399116
2/14/2021,1,0,0,1,0,1,1,0.034199465
2/15/2021,1,0,0,1,1,1,0,-0.015846624
2/16/2021,1,1,1,1,1,1,1,0.026175826
2/17/2021,1,0,1,1,1,1,1,0.059939024
2/18/2021,1,1,1,0,1,1,0,-0.008993461
2/19/2021,1,1,1,0,1,1,1,0.081424149
2/20/2021,1,1,1,1,1,1,1,0.003793301
2/21/2021,1,1,1,0,1,1,1,0.025668449
2/22/2021,1,1,1,1,1,1,0,-0.057924922
2/23/2021,1,0,0,1,0,1,0,-0.099304518
2/24/2021,1,1,1,0,1,1,1,0.018044404
2/25/2021,1,1,1,0,1,1,0,-0.052529927
2/26/2021,1,1,1,1,1,1,0,-0.016010532
2/27/2021,1,1,1,0,0,1,0,-0.003280104
3/2/2021,1,1,1,0,1,1,1,0.047436564
3/3/2021,1,0,1,0,1,1,1,0.044626801
3/4/2021,1,1,1,0,1,1,0,-0.039119079
3/7/2021,1,1,1,1,0,1,1,0.05448817
3/8/2021,1,0,0,1,0,1,1,0.020309723
3/9/2021,1,0,0,0,0,1,1,0.049323406
3/10/2021,1,1,1,1,1,1,1,0.021614621
3/11/2021,1,0,0,1,0,1,1,0.032066275
3/12/2021,1,1,1,0,1,1,0,-0.008182683
3/13/2021,1,1,1,1,0,1,1,0.068216703
3/14/2021,1,0,0,0,1,1,0,-0.031693418
3/15/2021,1,0,0,1,0,1,0,-0.057249334
3/16/2021,1,0,0,1,0,1,1,0.016062389
3/17/2021,1,1,0,1,0,1,1,0.036370038
